Energy_Consumed,Production_Output,Renewable_Energy_Usage,Equipment_Age,Maintenance_Frequency,Operator_Training,Downtime_Hours,Automation_Level,Industry_Type,Region,Efficiency_Class
1891.153009949814,17.23371519919054,27.784401421097385,4,2,Basic,18.640698842934846,Medium,Manufacturing,East,Low
3132.7288593122685,97.80094277654811,78.89076205798493,18,1,Advanced,34.17047209127682,Low,Manufacturing,North,High
4527.735814496219,89.91584106620465,28.768648889218994,12,3,Basic,6.010863649169549,Medium,Technology,South,Low
2380.6192214400057,12.008691829131958,18.205538861725543,15,6,Basic,30.807996957771365,Low,Manufacturing,East,High
2197.1773337323634,30.269299165455003,15.074026338094262,8,1,Intermediate,16.19683794195758,Medium,Technology,East,Low
4561.418790945416,52.830256331915926,54.99459712537228,17,1,Advanced,15.500969443321742,Medium,Technology,North,Low
3871.633927763618,95.62195429988125,58.04634523777421,6,1,Intermediate,37.05137412036861,Medium,Technology,North,High
1291.4097691526765,29.86342724526314,56.804517069594276,6,3,Basic,16.758617396442066,High,Technology,East,Low
4145.585265149717,44.962076972393724,57.27891072389372,4,5,Advanced,31.250677913718313,Medium,Manufacturing,South,Low
2401.003551520117,24.35305312540606,32.1825422803195,1,5,Intermediate,35.67814268449082,High,Manufacturing,South,High
2829.3849825072075,95.5411756943382,48.1021088221315,10,8,Intermediate,38.42241004904993,Low,Manufacturing,West,Low
1113.2688667428838,30.816238073253352,27.428944317224904,1,5,Basic,33.939558798176876,High,Manufacturing,South,High
1798.7823975965066,77.83855592834976,60.42414206249328,5,8,Basic,22.17056745662143,High,Mining,East,Low
1348.877379480187,67.2976304027699,32.686346205060985,3,4,Basic,13.42446699330932,Low,Manufacturing,West,High
1258.092197038171,71.13331990762359,22.958590019874862,7,11,Intermediate,35.93952279552105,Medium,Technology,West,Medium
4602.01931907789,22.468559086047634,58.659602087990024,18,10,Intermediate,7.596460513231156,High,Manufacturing,East,Low
1860.8407812955927,30.37933419851309,35.623483597009155,2,11,Intermediate,3.305164531463922,Low,Manufacturing,West,Low
4110.36176926627,68.53211149586258,43.86839291855425,5,7,Basic,11.838656189373138,High,Manufacturing,North,High
2069.176432923872,90.31061335124744,57.71483170078001,7,4,Basic,23.02798959757586,Low,Technology,South,High
1280.3190433703508,45.81062969527191,62.606603342948844,7,8,Intermediate,5.377459099225104,High,Manufacturing,West,Low
3012.8321581964947,40.684503970125206,64.19594229654956,14,11,Advanced,19.399360572091688,High,Technology,West,Low
2670.8541323303198,23.638803072177385,45.13332666756387,1,5,Intermediate,33.086286443809925,Medium,Mining,South,Low
3733.217575186709,96.97402788608815,57.936353703685654,18,4,Advanced,15.53300371923533,Medium,Mining,South,Medium
2950.5238411427977,88.46062598026946,61.158356490931354,1,3,Intermediate,33.79389034649326,Low,Technology,North,Low
1678.371167722008,85.98337316151174,27.479431024578183,14,3,Intermediate,5.858212299434631,Low,Mining,North,Low
4279.890314495155,91.77237877340092,36.065977587402955,16,9,Basic,0.8198177126608641,Low,Technology,North,Medium
3446.108869679126,93.62075781701213,15.030054502570371,10,1,Basic,13.511700073395584,Medium,Mining,South,Low
4047.700941830213,13.068632180688693,59.22415673008433,13,1,Basic,9.112598708277266,High,Manufacturing,West,Medium
3748.0567175517863,73.54400711781139,22.621627853878095,2,6,Advanced,18.275492147413992,Low,Technology,North,High
3601.0700911058275,75.84777074245612,56.87967510241912,12,3,Intermediate,28.95853238094474,Medium,Technology,North,Medium
3935.731620308943,59.62663577381829,18.415216569243903,12,1,Intermediate,24.352713139958002,Medium,Mining,East,Low
4437.162499373626,83.50390491478908,75.5447368446175,7,2,Advanced,2.3756000414040424,High,Manufacturing,North,High
